name,amylogram,appnn,agg,amylo,turn,helix,helagg,beta,length
EbfG1,0.5722656695535648,1.1033327746752208,32.7805,53277.0,29.0064,14.993,0,286.942,73
EbfG2,0.7104433380861254,1.085031874370911,46.3632,47081.6,46.5541,11.5138,0,228.13,77
EbfG3,0.8215514404602037,1.0316665986094926,104.603,1.18731,27.9099,8.50685,0,167.869,72
EbfG4,0.6934667798714772,1.0571608262254406,54.9381,22056.5,17.3268,52.1323,0,193.204,60
